City_ID,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Winds
69,Mizan Teferi,ET,2020-11-08 07:09:04,6.98,35.58,71.51,84,79,1.66
70,Mahebourg,MU,2020-11-08 07:09:05,-20.41,57.7,80.6,65,75,17.22
71,Carnarvon,AU,2020-11-08 07:05:53,-24.87,113.63,78.8,57,0,17.22
72,Bethel,US,2020-11-08 07:05:00,41.37,-73.41,51.01,93,1,3.18
73,Shubarshi,KZ,2020-11-08 07:09:05,48.59,57.19,38.43,75,100,17.09
74,Isangel,VU,2020-11-08 07:05:02,-19.55,169.27,80.6,83,75,6.93
75,Faya,SA,2020-11-08 07:09:06,18.39,42.45,68.0,42,0,4.7
76,Grigoropolisskaya,RU,2020-11-08 07:09:06,45.3,41.06,46.22,91,0,15.66
77,Longyearbyen,SJ,2020-11-08 07:09:06,78.22,15.64,28.4,86,40,1.12
78,Fonte Boa,BR,2020-11-08 07:09:07,-2.5,-66.27,73.26,98,94,0.16
79,Inirida,CO,2020-11-08 07:09:07,3.87,-67.92,74.35,97,100,2.3
80,Jalu,LY,2020-11-08 07:09:07,29.03,21.55,65.03,71,0,8.01
81,Grindavik,IS,2020-11-08 07:07:09,63.84,-22.43,37.4,65,40,5.82
82,Korla,CN,2020-11-08 07:09:07,41.76,86.15,50.0,79,0,9.01
83,Chaplynka,UA,2020-11-08 07:09:08,46.37,33.54,49.98,74,45,2.35
84,Ugoofaaru,MV,2020-11-08 07:09:08,5.67,73.0,83.97,74,100,10.92
85,Daru,PG,2020-11-08 07:07:47,-9.08,143.21,83.3,76,45,12.17
86,Kuliyapitiya,LK,2020-11-08 07:09:08,7.47,80.04,84.2,79,75,6.93
87,Nikolskoye,RU,2020-11-08 07:09:08,59.7,30.79,42.8,75,20,11.18
88,Sile,TR,2020-11-08 07:09:09,41.18,29.61,57.99,76,85,15.82
89,Mount Gambier,AU,2020-11-08 07:09:09,-37.83,140.77,73.4,46,0,11.41
90,Torbay,CA,2020-11-08 07:05:14,47.67,-52.73,36.0,69,20,14.99
91,Vaini,TO,2020-11-08 07:09:09,-21.2,-175.2,75.2,83,20,4.7
92,Castro,BR,2020-11-08 07:09:09,-24.79,-50.01,55.2,71,0,3.87
93,Tonantins,BR,2020-11-08 07:09:10,-2.87,-67.8,73.02,98,100,2.73
94,Hermanus,ZA,2020-11-08 07:09:10,-34.42,19.23,57.0,91,96,1.01
95,Avarua,CK,2020-11-08 07:06:03,-21.21,-159.78,71.6,88,8,6.8
96,Arraial Do Cabo,BR,2020-11-08 07:04:37,-22.97,-42.03,71.94,87,87,7.27
97,Takaungu,KE,2020-11-08 07:09:10,-3.68,39.86,84.2,70,75,5.82
98,Souillac,MU,2020-11-08 07:09:11,-20.52,57.52,80.6,65,75,17.22
99,Saint-Philippe,RE,2020-11-08 07:09:11,-21.36,55.77,78.8,65,75,17.22
100,Awbari,LY,2020-11-08 07:09:11,26.59,12.78,59.16,65,0,4.74
101,Victoria,HK,2020-11-08 07:07:03,22.29,114.16,80.01,63,73,8.86
102,Kutum,SD,2020-11-08 07:09:12,14.2,24.67,68.14,33,0,9.75
103,Maceio,BR,2020-11-08 07:09:12,-9.67,-35.74,73.4,94,75,3.36
104,Vostok,RU,2020-11-08 07:07:03,46.49,135.88,25.77,97,100,2.95
105,Galbshtadt,RU,2020-11-08 07:09:12,53.23,78.98,49.26,46,100,20.2
106,Kruisfontein,ZA,2020-11-08 07:09:13,-34.0,24.73,70.0,61,0,3.0
107,Broome,US,2020-11-08 07:09:13,42.25,-75.83,53.6,58,1,4.7
108,Chala,TZ,2020-11-08 07:09:13,-7.58,31.27,71.6,60,0,6.93
109,Khash,IR,2020-11-08 07:09:13,28.22,61.22,73.85,19,0,6.91
110,Kuznechnoye,RU,2020-11-08 07:09:13,61.12,29.87,36.0,77,58,8.63
111,Jamestown,US,2020-11-08 07:05:50,42.1,-79.24,50.0,61,1,4.7
112,Pevek,RU,2020-11-08 07:09:14,69.7,170.31,11.98,95,98,4.41
113,Khatanga,RU,2020-11-08 07:05:34,71.97,102.5,-0.78,88,27,14.38
114,Novikovo,RU,2020-11-08 07:06:58,51.15,37.89,45.19,81,100,14.45
115,Gorontalo,ID,2020-11-08 07:09:14,0.54,123.06,85.53,64,100,3.06
116,Arvin,US,2020-11-08 07:09:15,35.21,-118.83,48.0,89,21,4.0
117,Constitucion,CL,2020-11-08 07:09:15,-35.33,-72.42,56.01,74,0,6.08
118,Almaznyy,RU,2020-11-08 07:09:15,48.04,40.05,41.0,100,90,8.95
119,Prince Rupert,CA,2020-11-08 07:09:15,54.32,-130.32,39.2,73,1,4.7
120,Port Alfred,ZA,2020-11-08 07:06:48,-33.59,26.89,71.06,62,0,8.1
121,Pasni,PK,2020-11-08 07:07:14,25.26,63.47,81.1,30,0,5.44
122,Tarbagatay,RU,2020-11-08 07:09:16,51.48,107.36,28.4,68,90,2.24
123,Mandera,KE,2020-11-08 07:09:16,3.94,41.87,85.57,56,0,9.24
124,Bredasdorp,ZA,2020-11-08 07:04:49,-34.53,20.04,57.2,87,100,9.17
125,Kavieng,PG,2020-11-08 07:09:17,-2.57,150.8,81.93,77,66,2.91
126,Russell,US,2020-11-08 07:09:17,32.35,-85.2,68.0,88,1,3.36
127,Purificacion,CO,2020-11-08 07:09:17,3.86,-74.93,73.36,86,100,1.05
128,Tautira,PF,2020-11-08 07:09:17,-17.73,-149.15,78.8,78,40,2.24
129,Moramanga,MG,2020-11-08 07:09:17,-18.93,48.2,85.35,23,0,4.7
130,Severo-Kurilsk,RU,2020-11-08 07:09:18,50.68,156.12,35.15,82,61,4.36
131,Olafsvik,IS,2020-11-08 07:09:18,64.89,-23.71,39.58,72,100,8.93
132,Lima,PE,2020-11-08 07:05:59,-12.04,-77.03,62.6,82,90,9.17
133,Dikson,RU,2020-11-08 07:05:08,73.51,80.55,-1.14,93,100,11.5
134,San Quintin,MX,2020-11-08 07:09:19,30.48,-115.95,60.48,66,20,15.03
135,Handan,CN,2020-11-08 07:09:19,36.6,114.47,62.06,25,0,4.74
136,Moron,AR,2020-11-08 07:05:06,-34.65,-58.62,66.99,86,0,6.17
137,Menongue,AO,2020-11-08 07:09:19,-14.66,17.69,84.61,31,51,5.23
138,Kahului,US,2020-11-08 07:09:19,20.89,-156.47,80.6,65,1,16.11
139,Kununurra,AU,2020-11-08 07:09:20,-15.77,128.73,102.2,21,3,6.93
140,Providencia,MX,2020-11-08 07:09:20,28.72,-111.58,66.99,69,0,1.99
141,Homer,US,2020-11-08 07:09:20,59.64,-151.55,41.0,86,90,11.41
142,Tasiilaq,GL,2020-11-08 07:05:42,65.61,-37.64,23.13,91,100,9.22
143,Mehamn,NO,2020-11-08 07:09:21,71.04,27.85,38.21,83,98,31.03
144,Tapes,BR,2020-11-08 07:05:06,-30.67,-51.4,65.19,87,12,9.35
145,Sao Filipe,CV,2020-11-08 07:09:21,14.9,-24.5,79.45,74,100,7.38
146,Bambous Virieux,MU,2020-11-08 07:09:21,-20.34,57.76,80.6,65,75,17.22
147,Adrar,MR,2020-11-08 07:09:21,20.5,-10.07,77.04,20,8,6.71
148,Leningradskiy,RU,2020-11-08 07:09:22,69.38,178.42,17.73,96,100,6.89
149,Bathsheba,BB,2020-11-08 07:09:22,13.22,-59.52,78.8,88,75,23.04
150,Eirunepe,BR,2020-11-08 07:09:22,-6.66,-69.87,72.95,91,100,1.34
151,Ucluelet,CA,2020-11-08 07:09:22,48.93,-125.55,44.01,46,0,1.99
152,Neuquen,AR,2020-11-08 07:07:45,-38.95,-68.06,66.2,68,75,10.29
153,Belyy Yar,RU,2020-11-08 07:06:07,53.6,91.39,41.0,75,0,4.59
154,Moffat,GB,2020-11-08 07:09:23,55.33,-3.45,43.0,10,100,4.0
155,Pangnirtung,CA,2020-11-08 07:09:23,66.15,-65.71,6.98,80,100,4.81
156,Puerto Escondido,MX,2020-11-08 07:04:59,15.85,-97.07,77.74,80,80,4.52
157,Sisimiut,GL,2020-11-08 07:09:24,66.94,-53.67,13.89,84,19,8.28
158,Ranong,TH,2020-11-08 07:09:24,9.97,98.63,87.8,70,40,2.24
159,Kristiinankaupunki,FI,2020-11-08 07:09:24,62.27,21.38,39.99,76,0,9.15
160,Awjilah,LY,2020-11-08 07:09:24,29.11,21.29,64.6,72,0,8.52
161,Yantal,RU,2020-11-08 07:09:24,56.85,105.25,36.82,91,100,4.52
162,Nishihara,JP,2020-11-08 07:09:25,26.18,127.76,75.2,94,90,6.93
163,Katsuura,JP,2020-11-08 07:09:25,35.13,140.3,69.01,73,100,15.84
164,Dalvik,IS,2020-11-08 07:09:25,65.97,-18.53,39.2,44,0,8.05
165,Bilma,NE,2020-11-08 07:09:25,18.69,12.92,67.37,42,54,15.73
166,Hamilton,US,2020-11-08 07:09:25,39.18,-84.53,55.4,93,1,2.75
167,Tongren,CN,2020-11-08 07:09:26,27.72,109.19,72.01,36,0,8.79
168,Hokitika,NZ,2020-11-08 07:08:30,-42.72,170.97,50.72,67,100,6.85
169,Salalah,OM,2020-11-08 07:05:00,17.02,54.09,86.0,42,0,2.24
170,Huntsville,US,2020-11-08 07:05:31,34.73,-86.59,66.99,82,1,5.82
171,Trat,TH,2020-11-08 07:09:27,12.5,102.5,89.01,66,20,12.75
172,Marsaxlokk,MT,2020-11-08 07:09:27,35.84,14.54,64.99,87,20,1.12
173,Airai,TL,2020-11-08 07:09:27,-8.93,125.41,76.28,51,75,3.02
174,Hithadhoo,MV,2020-11-08 07:09:27,-0.6,73.08,84.94,67,0,6.24
175,Miraflores,MX,2020-11-08 07:09:27,19.22,-98.81,57.2,58,5,4.7
176,Champerico,GT,2020-11-08 07:09:28,14.3,-91.92,68.0,97,84,8.81
177,Aktash,RU,2020-11-08 07:09:28,50.3,87.73,32.63,89,0,6.85
178,Pontianak,ID,2020-11-08 07:09:28,-0.03,109.33,84.24,78,100,6.69
179,Kaoma,ZM,2020-11-08 07:09:28,-14.78,24.8,88.07,22,4,6.46
180,Hofn,IS,2020-11-08 07:09:29,64.25,-15.21,39.99,69,10,13.24
